FamilyName	StyleName	xHeight	CapHeight	Weight	Contrast	Lesser Thickness Slope	Superior Overshooting	Inferior Overshooting	Ascenders	Descenders	n Expansion	o Expansion	n/o Ratio	O Expansion	R Expansion	R/O Ratio	AltezzaMassimaH	PuntoMedioAstaOrizzontaleH	PuntoMedioAstaVerticaleT	AggettoSinistroT	AggettoDestroT	SimmetriaAggettiT	o Average Squaring	o Internal Squaring	o External Squaring	Bezier	Grazie	Spacing
Fedra Sans	Normal	546	1.2949	0.1905	0.79	0	0.0256	0.022	1.4249	-0.2115	0.6621	0.7491	0.88	1.1236	0.6868	0.61	707	0.5021	0.5	236	236	False	0.6385	0.6477	0.6293	curve	Sans	Proportional
Fedra Serif A	Bold	546	1.2949	0.3077	0.54	-9	0.0238	0.0147	1.4065	-0.3452	0.7097	0.7253	0.98	1.0586	0.7299	0.69	707	0.5014	0.4993	266	267	False	0.6265	0.6573	0.5957	curve	Serif	Proportional
Fedra Serif A	Book	546	1.2949	0.1593	0.62	-37	0.0147	0.0128	1.4102	-0.3599	0.6648	0.7253	0.92	1.0952	0.6502	0.59	707	0.5021	0.4992	266	267	False	0.6426	0.6809	0.6044	curve	Serif	Proportional
Fedra Serif A	Medium	546	1.2949	0.2491	0.57	-17	0.0201	0.0147	1.4084	-0.3507	0.6648	0.7253	0.92	1.0723	0.6969	0.65	707	0.5021	0.4993	266	267	False	0.6328	0.6671	0.5984	curve	Serif	Proportional
Fedra Serif A	Normal	546	1.2949	0.1996	0.6	-20	0.0165	0.0128	1.4084	-0.3553	0.6648	0.7244	0.92	1.0852	0.6712	0.62	707	0.5014	0.4992	266	267	False	0.6398	0.6767	0.6028	curve	Serif	Proportional
Fedra Serif B	Bold	546	1.3498	0.3077	0.37	-10	0.0238	0.0147	1.5897	-0.5119	0.489	0.7253	0.67	1.0678	0.7427	0.7	737	0.4993	0.4993	266	267	False	0.6269	0.6574	0.5964	curve	Serif	Proportional
Fedra Serif B	Book	546	1.3498	0.1593	0.51	-32	0.0147	0.0128	1.5934	-0.5082	0.6795	0.7253	0.94	1.0952	0.6502	0.59	737	0.502	0.4992	266	267	False	0.6358	0.6663	0.6052	curve	Serif	Proportional
Fedra Serif B	Medium	546	1.3498	0.2491	0.42	-4	0.0201	0.0147	1.5915	-0.511	0.6703	0.7253	0.92	1.0778	0.7051	0.65	737	0.5	0.4993	266	267	False	0.6316	0.6643	0.5988	curve	Serif	Proportional
Fedra Serif B	Normal	546	1.3498	0.2015	0.47	-20	0.0165	0.0128	1.5915	-0.5092	0.6758	0.7244	0.93	1.087	0.6749	0.62	737	0.5014	0.4992	266	267	False	0.635	0.6665	0.6034	curve	Serif	Proportional
Didot	Bold	429	1.6597	0.2844	0.1	0	0.0326	0.0326	1.6969	-0.6364	0.7133	0.8228	0.87	1.366	0.7471	0.55	712	0.5098	0.5	241	241	False	0.6403	0.7276	0.553	curve	Serif	Proportional
Didot	Roman	429	1.6597	0.2005	0.14	10	0.0303	0.0326	1.7016	-0.6364	0.7483	0.8531	0.88	1.3543	0.7506	0.55	712	0.5112	0.5	254	254	False	0.6162	0.7092	0.5232	curve	Serif	Proportional
